minute,ambient_C,solar_input_W,electronics_power_W,net_heat_W,internal_C,margin_to_warning_C
138,31.66843904477212,4.6673756179088475,0.08,1.4493551541761116,63.20668418654399,-8.206684186543988
139,31.630770916481055,4.652308366592421,0.08,1.40852802237527,63.40790247545474,-8.40790247545474
140,31.59110991546882,4.636443966187528,0.08,1.3673079072416416,63.60323217648926,-8.603232176489257
141,31.54946283744377,4.619785134977507,0.08,1.3257041519200872,63.79261848390641,-8.79261848390641
142,31.505836818418317,4.602334727367326,0.08,1.2837261310001589,63.97600793119214,-8.976007931192143
143,31.46023933348624,4.584095733394496,0.08,1.241383249425454,64.15334839539578,-9.153348395395781
144,31.412678195541844,4.565071278216737,0.08,1.198684941390007,64.32458910130865,-9.324589101308646
145,31.363161553941268,4.545264621576507,0.08,1.1556406692220462,64.48968062548323,-9.489680625483231
146,31.311697893106142,4.524679157242456,0.08,1.1122599222553942,64.64857490009115,-9.648574900091148
147,31.258296031069808,4.503318412427923,0.08,1.0685522156888343,64.80122521661812,-9.801225216618121
148,31.20296511796642,4.4811860471865685,0.08,1.0245270894337581,64.94758622939437,-9.947586229394375
149,31.14571463446309,4.458285853785236,0.08,0.9801941069503641,65.08761395895871,-10.087613958958713
150,31.08655439013544,4.4346217560541765,0.45,1.3055628540727797,65.27412293811197,-10.274122938111972
151,31.025494521786783,4.410197808714712,0.45,1.255079028048903,65.45341994211896,-10.453419942118956
152,30.96254549171121,4.385018196684484,0.08,0.8343998334836691,65.57261991833091,-10.572619918330915
153,30.897718085900976,4.359087234360391,0.08,0.789097567788819,65.68534814230074,-10.68534814230074
154,30.831023412198327,4.3324093648793305,0.08,0.7435330775001292,65.79156715337218,-10.791567153372185
155,30.76247289839226,4.304989159356904,0.08,0.6977160798853328,65.8912408790701,-10.891240879070097
156,30.692078290260415,4.276831316104166,0.08,0.6516563067557777,65.98433463717807,-10.984334637178065
157,30.6198516495565,4.247940659822601,0.08,0.6053635032308575,66.07081513763961,-11.070815137639613
158,30.545805351943585,4.218322140777434,0.08,0.5588474264936414,66.15065048428156,-11.150650484281556
159,30.46995208487357,4.187980833949426,0.08,0.5121178445380594,66.22381017635843,-11.223810176358427
160,30.392304845413264,4.156921938165306,0.08,0.46518453490792044,66.2902651099167,-11.290265109916703
161,30.312876938017432,4.125150775206973,0.08,0.41805728342810244,66.34998757897786,-11.34998757897786
162,30.231681972249106,4.092672788899643,0.08,0.3707458829281953,66.40295127653903,-11.402951276539028
163,30.148733860447678,4.059493544179071,0.08,0.32326013195892944,66.4491312953903,-11.449131295390302
164,30.064046815345087,4.025618726138036,0.08,0.2756098335016972,66.48850412874769,-11.488504128747692
165,29.977635347630546,3.9910541390522174,0.08,0.2278047936714649,66.52104767070075,-11.521047670700753
166,29.88951426346419,3.955805705385676,0.08,0.17985482041340628,66.5467412164741,-11.546741216474103
167,29.79969866194015,3.9198794647760593,0.08,0.13176972219353766,66.56556546250175,-11.565565462501752
168,29.70820393249937,3.8832815729997474,0.08,0.08355930668370748,66.5775025063137,-11.577502506313706
169,29.61504575229273,3.846018300917091,0.08,0.03523337944119875,66.58253584623388,-11.582535846233881
170,29.520240083494823,3.808096033397929,0.08,-0.013198257416708437,66.58065038088864,-11.580650380888642
171,29.423803170568938,3.769521268227575,0.08,-0.061725806542920036,66.57183240852537,-11.571832408525367
172,29.325751537483654,3.7303006149934608,0.08,-0.11033947669514044,66.55606962614034,-11.556069626140342
173,29.226101984881517,3.6904407939526056,0.08,-0.1590294840746389,66.53335112841539,-11.53335112841539
174,29.12487158720037,3.649948634880148,0.08,-0.20778605366880054,66.50366740646271,-11.50366740646271
175,29.02207768974773,3.6088310758990914,0.08,-0.25659942059722196,66.46701034637739,-11.467010346377393
176,28.917737905728735,3.5670951622914933,0.08,-0.30545983146099687,66.42337322759725,-11.423373227597253
177,28.811870113228224,3.52474804529129,0.08,-0.3543575456949233,66.37275072106941,-11.372750721069409
178,28.70449245214745,3.48179698085898,0.08,-0.40328283692227895,66.31513888722337,-11.31513888722337
179,28.59562332109585,3.438249328438341,0.08,-0.45222599431192423,66.25053517375024,-11.250535173750237
180,28.48528137423857,3.394112549695428,0.45,-0.1311773239373788,66.2317955560449,-11.2317955560449
181,28.37348551810016,3.349394207240065,0.45,-0.18569105991201296,66.20526826177175,-11.20526826177175
182,28.260254908325052,3.3041019633300204,0.08,-0.610109968611737,66.11810969482721,-11.118109694827211
183,28.145608946395306,3.2582435785581216,0.08,-0.6588617633820788,66.02398658577263,-11.023986585772633
184,28.029567276306295,3.2118269105225186,0.08,-0.7075856483686747,65.92290292171997,-10.922902921719967
185,27.912149781200828,3.1648599124803307,0.08,-0.7562719970480001,65.81486406499883,-10.81486406499883
186,27.793376579962207,3.117350631984882,0.08,-0.8049112085452887,65.69987674949236,-10.699876749492361
187,27.673268023767015,3.069307209506807,0.08,-0.8534937089905981,65.57794907677942,-10.577949076779419
188,27.55184469259805,3.0207378770392195,0.08,-0.9020099528746082,65.44909051208305,-10.449090512083046
189,27.429127391718012,2.971650956687204,0.08,-0.9504504244038521,65.31331188002535,-10.313311880025353
190,27.30513714810465,2.92205485924186,0.08,-0.9988056388550559,65.17062536018892,-10.170625360188922
191,27.17989520684791,2.8719580827391638,0.08,-1.047066143928311,65.02104448248488,-10.021044482484882
192,27.05342302750968,2.8213692110038715,0.08,-1.0952225210987812,64.86458412232791,-9.864584122327912
193,26.925742280446805,2.7702969121787215,0.08,-1.1432653869666582,64.70126049561838,-9.701260495618385
194,26.796874843097996,2.7187499372391977,0.08,-1.191185394605054,64.53109115353195,-9.531091153531946
195,26.666842796235226,2.6667371184940905,0.08,-1.238973234905564,64.35409497711687,-9.354094977116873
196,26.53566842018033,2.614267368072131,0.08,-1.2866196379211896,64.17029217169956,-9.170292171699558
197,26.403374190987343,2.561349676394936,0.08,-1.3341153742063496,63.979704261098654,-8.979704261098654
198,26.269982776591387,2.5079931106365545,0.08,-1.3814512561536842,63.78235408164813,-8.78235408164813
199,26.135517032924625,2.4542068131698502,0.08,-1.428618139327361,63.57826577602994,-8.578265776029937
200,26.0,2.3999999999999995,0.08,-1.4756069237926255,63.367464786916706,-8.367464786916706
201,25.863454897963457,2.3453819591853833,0.08,-1.5224085554412743,63.149977850425095,-8.149977850425095
202,25.725905123115304,2.2903620492461214,0.08,-1.5690140273128041,62.92583298938041,-7.92583298938041
203,25.587374243901337,2.2349496975605354,0.08,-1.6154143809109458,62.69505950639313,-7.695059506393129
204,25.44788599687456,2.1791543987498248,0.08,-1.6616007075152877,62.45768797674809,-7.45768797674809
205,25.307464282628015,2.122985713051206,0.08,-1.707564149487749,62.213750241106986,-7.213750241106986
206,25.16613316169955,2.0664532646798186,0.08,-1.7532959015735958,61.963279398025044,-6.963279398025044
207,25.023916850449137,2.009566740179654,0.08,-1.7987872121967574,61.70630979628265,-6.706309796282653
208,24.8808397169096,1.95233588676384,0.08,-1.8440293847491134,61.44287702703278,-6.442877027032779
209,24.736926276611207,1.8947705106444834,0.08,-1.8890137788735766,61.17301791576512,-6.173017915765122
210,24.59220118838108,1.8368804753524315,0.45,-1.563731811740626,60.94962765694503,-5.949627656945033
211,24.446689250118034,1.778675700047214,0.45,-1.61373886909247,60.71909353278897,-5.719093532788968
212,24.300415394543606,1.7201661578174432,0.08,-2.033378909366279,60.428610831450925,-5.428610831450925
213,24.153404684929917,1.6613618739719678,0.08,-2.077080878293401,60.131884991694726,-5.131884991694726
214,24.00568231080525,1.6022729243220994,0.08,-2.120485252613635,59.82895852703564,-4.828958527035638
215,23.85727358363794,1.5429094334551763,0.08,-2.1635837184814237,59.51987513868115,-4.519875138681151
216,23.70820393249937,1.483281572999748,0.08,-2.2063680276509663,59.20467970615958,-4.204679706159581
217,23.55849889970685,1.4233995598827407,0.08,-2.248829998691231,58.88341827777512,-3.883418277775121
